"n_sov"	"ratio_n_sov_tot"	"ratio_n_sov_sp"
36674	0.070654781055718	0.764392013005961
"n_sovGrp"	"ratio_n_sovGrp_stot"	"ratio_n_sovGrp_sp"	"ratio_n_sovGrp_sov"	"o"
19	0.00003660470197	0.000396014840135	0.000518078202541	"11:00 - 22:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Su 17:00-01:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Su 11:30-14:30,17:30-22:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Tu-Sa 18:00-23:00"
19	0.00003660470197	0.000396014840135	0.000518078202541	"Mo-Th 11:30-14:30, 18:30-22:30;Fr-Sa 11:30-14:30, 18:30-23:00;Su 11:30-14:30, 18:30-22:30"
18	0.000034678138709	0.000375171953812	0.000490810928723	"Mo-Sa 11:30-23:00"
18	0.000034678138709	0.000375171953812	0.000490810928723	"Mo-Su 12:00-23:30"
18	0.000034678138709	0.000375171953812	0.000490810928723	"Mo-Sa 10:00-20:00"
18	0.000034678138709	0.000375171953812	0.000490810928723	"Mo-Su 08:00-21:00"
18	0.000034678138709	0.000375171953812	0.000490810928723	"Mo-Sa 10:30-21:00; Su 11:00-20:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"12:00-02:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Fr 09:00-18:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Su 11:00-15:00,17:00-23:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Tu-Su 08:00-15:00; Sa 08:00-12:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Su 00:00-01:00,11:00-24:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Fr 12:00-14:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Tu-Su 18:00-24:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Su 12:00-22:30"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Su 11:30-14:30,17:30-24:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"16:00-23:00"
17	0.000032751575447	0.000354329067489	0.000463543654905	"We-Su 11:00-22:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"11:00-23:30"
16	0.000030825012186	0.000333486181166	0.000436276381087	"12:00 - 23:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"08:00-20:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"Mo-Su 10:00-18:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"Mo-Su 16:00-22:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"09:00-21:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"Tu-Su 11:30-14:30,17:30-23:00"
16	0.000030825012186	0.000333486181166	0.000436276381087	"Mo-Fr 11:00-14:30"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Fr 11:00-18:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"10:00-02:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Tu-Su 11:30-14:30,17:30-23:30"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Sa 11:30-22:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Fr 10:00-16:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"11:30-14:30,17:30-23:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Tu-Su 18:00-23:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Su 13:00-23:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Su 11:30-15:00,17:00-23:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Fr 11:00-13:30"
15	0.000028898448924	0.000312643294843	0.000409009107269	"10:00 - 22:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Su 11:00-23:00; Fr,Sa 11:00-24:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Sa 11:00-23:00; Su 11:00-22:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Su 12:00-02:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Fr 11:00-23:00"
15	0.000028898448924	0.000312643294843	0.000409009107269	"Mo-Su 11:30-22:30"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Fr 11:00-22:00;Sa-Su 12:00-22:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Su 00:00-02:00,11:00-24:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"11:00-18:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"17:00-01:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Tu-Su 12:00-24:00"
14	0.000026971885662	0.000291800408521	0.000381741833451	"Mo-Su 16:00-23:00"
