http://linkedgeodata.org/ontology/Restaurant
"n_sp"	"ratio_n_sp_stot"	"p"
21828	0.114271355205503	"http://linkedgeodata.org/ontology/source"
15065	0.07886650019108	"http://linkedgeodata.org/ontology/opening_hours"
14802	0.077489673802083	"http://linkedgeodata.org/ontology/wheelchair"
12367	0.064742250770866	"http://linkedgeodata.org/ontology/addr%3Acountry"
8018	0.041974882079793	"http://linkedgeodata.org/ontology/operator"
7739	0.040514294389563	"http://linkedgeodata.org/ontology/takeaway"
6603	0.034567242002105	"http://linkedgeodata.org/ontology/drive_through"
6359	0.033289882158319	"http://linkedgeodata.org/ontology/smoking"
5236	0.027410885828111	"http://linkedgeodata.org/ontology/brand"
3941	0.020631455509661	"http://linkedgeodata.org/ontology/addr%3Astate"
2986	0.015631952842387	"http://linkedgeodata.org/ontology/delivery"
2944	0.015412079426654	"http://linkedgeodata.org/ontology/internet_access"
2566	0.013433218685052	"http://linkedgeodata.org/ontology/area"
2106	0.011025081274638	"http://linkedgeodata.org/ontology/level"
2021	0.010580099361844	"http://linkedgeodata.org/ontology/contact%3Aphone"
1856	0.00971631094289	"http://linkedgeodata.org/ontology/addr%3Ahousename"
1816	0.009506907689811	"http://linkedgeodata.org/ontology/branch"
1749	0.009156157240903	"http://linkedgeodata.org/ontology/building%3Alevels"
1720	0.00900433988242	"http://linkedgeodata.org/ontology/outdoor_seating"
1582	0.008281898659296	"http://linkedgeodata.org/ontology/source%3Adate"
1475	0.007721744957308	"http://linkedgeodata.org/ontology/addr%3Afull"
1420	0.007433815484324	"http://linkedgeodata.org/ontology/note"
1253	0.006559556902716	"http://linkedgeodata.org/ontology/createdBy"
1196	0.006261157267078	"http://linkedgeodata.org/ontology/addr%3Aprovince"
1127	0.005899936655516	"http://linkedgeodata.org/ontology/internet_access%3Afee"
1124	0.005884231411535	"http://linkedgeodata.org/ontology/addr%3Asuburb"
1061	0.005554421287935	"http://linkedgeodata.org/ontology/cuisine%3Aja"
