Number	Opening_hours	Distance
5	Mo-Sa 06:00-22:00	0
5	Mo-Sa 09:00-17:00	0
5	8:00-18:00	1
5	Mo-Su 07:00-16:00	0
5	Mo-Sa 11:00-16:00,20:00-02:00	0
5	06:00-20:00	1
5	Sa,Su 14:00-18:00	0
5	2015-04-25	4
5	Jun-Aug	4
4	Mo-Fr 08:30-15:00	0
4	Mo-Su 08:30-18:30	0
4	Mo-Sa 08:30-20:00	0
4	Mo-Sa 07:30-22:00; Su,PH 08:00-22:00	0
4	Tu 00:00-00:00	0
4	08:00-02:00	1
4	Mo-Su 06:30-23:00	0
4	Sa,Su 10:00-18:00	0
4	Mo-Sa 07:00-23:00	0
4	07:00-23:30	1
4	Mo-Sa 08:00-21:00; Su 09:00-21:00	0
4	09:00-01:00	1
4	Mo-Sa 09:30-21:00; Su 10:00-20:00	0
4	Mo-Fr 07:00-21:00	0
4	Sa-Su 10:00-18:00	0
4	Mo-Fr 07:00-22:00; Sa,Su,PH 07:30-22:00	0
4	Mo-Fr 11:00-18:00	0
4	Mo-Sa 07:00-21:00; Su,PH 08:00-20:00	0
4	10:00-21:00	1
4	Mo-Su 08:00-23:59	0
4	10:30-23:00	1
4	Mo-Fr 07:00-21:00;Sa-Su 08:00-21:00	0
4	Tu-Su 10:00-21:00	0
4	Mo-Sa 09:00-21:00; Su 09:00-20:00	0
4	wd 07:30-21:00	4
4	11:00-15:00	1
4	Mo-Fr 06:00-16:00	0
4	Mo-Su 8:00-17:00	2
4	14:00-23:00	1
4	Mo-Su 06:00-18:00	0
4	Mo-Fr 09:00-19:00; Sa 09:00-16:00	0
4	Mo-Su 09:00-23:59	0
4	Mo-Sa 11:00-21:00	0
4	Tu-Su 09:00-22:00	0
4	Mo-Sa 09:00-20:00; Su 11:00-20:00	0
4	09:00-05:00	1
4	Mo-Su 7:00-21:00	2
4	Mo-Su 14:00-24:00	0
4	Sa-Su 10:00-16:00	0
4	Tu-Su 09:00-19:00	0
4	9:00-18:00	1
4	Mo-Sa 07:00-22:00; Su,PH 07:00-21:00	0
4	Mo-Sa 10:00-17:00	0
4	06:00-01:00	1
4	07:00-15:00	1
4	10:00-01:00	1
4	08:30-24:00	1
4	Th-Su 11:00-17:00	0
4	wd 07:00-21:00	4
4	Mo-Su 10:00-20:30	0
