http://linkedgeodata.org/ontology/School
"n_sp"	"ratio_n_sp_stot"	"p"
3799	0.007319013830798	"http://linkedgeodata.org/ontology/building%3Alevels"
3641	0.007014616835466	"http://linkedgeodata.org/ontology/createdBy"
3402	0.006554168215945	"http://linkedgeodata.org/ontology/contact%3Aemail"
3097	0.005966566421158	"http://linkedgeodata.org/ontology/internet_access%3Afee"
http://linkedgeodata.org/ontology/Platform
"n_sp"	"ratio_n_sp_stot"	"p"
498601	1	"http://linkedgeodata.org/ontology/version"
498601	1	"http://linkedgeodata.org/ontology/changeset"
375195	0.752495482359642	"http://linkedgeodata.org/ontology/gadmSameAs"
277320	0.556196237071326	"http://linkedgeodata.org/ontology/bus"
165054	0.331034233786134	"http://linkedgeodata.org/ontology/operator"
158505	0.317899482752742	"http://linkedgeodata.org/ontology/shelter"
150393	0.301629960629842	"http://linkedgeodata.org/ontology/network"
111595	0.223816237833458	"http://linkedgeodata.org/ontology/bench"
74311	0.149039011153207	"http://linkedgeodata.org/ontology/ref"
53333	0.106965288878281	"http://linkedgeodata.org/ontology/source"
37657	0.075525319844926	"http://linkedgeodata.org/ontology/route_ref%3ADe_Lijn"
37605	0.075421028036446	"http://linkedgeodata.org/ontology/ref%3ADe_Lijn"
37489	0.075188377079067	"http://linkedgeodata.org/ontology/zone%3ADe_Lijn"
36590	0.073385332159382	"http://linkedgeodata.org/ontology/wheelchair"
32160	0.064500472321556	"http://linkedgeodata.org/ontology/zone%3ATEC"
28247	0.056652513733426	"http://linkedgeodata.org/ontology/area"
23590	0.04731238003935	"http://linkedgeodata.org/ontology/route_ref"
22679	0.045485267779246	"http://linkedgeodata.org/ontology/bin"
21089	0.042296345173796	"http://linkedgeodata.org/ontology/tactile_paving"
16475	0.033042452782887	"http://linkedgeodata.org/ontology/ref%3AIFOPT"
15908	0.031905270948113	"http://linkedgeodata.org/ontology/note"
14460	0.029001145204282	"http://linkedgeodata.org/ontology/covered"
13732	0.02754105988556	"http://linkedgeodata.org/ontology/tram"
13433	0.026941381986799	"http://linkedgeodata.org/ontology/train"
12399	0.024867579487406	"http://linkedgeodata.org/ontology/local_ref"
9289	0.018630127095614	"http://linkedgeodata.org/ontology/ref%3ATECL"
9281	0.018614082202001	"http://linkedgeodata.org/ontology/route_ref%3ATECL"
8916	0.017882033930939	"http://linkedgeodata.org/ontology/url"
8797	0.017643366138455	"http://linkedgeodata.org/ontology/gtfs_id"
8186	0.016417937388814	"http://linkedgeodata.org/ontology/ref_name"
http://linkedgeodata.org/ontology/BusStop
"n_sp"	"ratio_n_sp_stot"	"p"
461479	1	"http://linkedgeodata.org/ontology/version"
461479	1	"http://linkedgeodata.org/ontology/changeset"
459588	0.995902305413681	"http://linkedgeodata.org/ontology/gadmSameAs"
321986	0.69772622372849	"http://linkedgeodata.org/ontology/bus"
185136	0.401179685316125	"http://linkedgeodata.org/ontology/operator"
163082	0.353389861727186	"http://linkedgeodata.org/ontology/network"
118419	0.256607559607263	"http://linkedgeodata.org/ontology/shelter"
77735	0.168447534990758	"http://linkedgeodata.org/ontology/ref"
72818	0.157792662287991	"http://linkedgeodata.org/ontology/bench"
59072	0.128005824750422	"http://linkedgeodata.org/ontology/source"
37574	0.08142082304937	"http://linkedgeodata.org/ontology/ref%3ADe_Lijn"
37454	0.081160789548387	"http://linkedgeodata.org/ontology/zone%3ADe_Lijn"
37196	0.080601717521274	"http://linkedgeodata.org/ontology/route_ref%3ADe_Lijn"
32080	0.069515622596044	"http://linkedgeodata.org/ontology/zone%3ATEC"
26922	0.058338515945471	"http://linkedgeodata.org/ontology/route_ref"
24693	0.053508393664717	"http://linkedgeodata.org/ontology/wheelchair"
15743	0.03411422838309	"http://linkedgeodata.org/ontology/ref%3AIFOPT"
15461	0.033503149655781	"http://linkedgeodata.org/ontology/note"
14886	0.032257155796905	"http://linkedgeodata.org/ontology/tactile_paving"
14816	0.032105469587999	"http://linkedgeodata.org/ontology/bin"
13056	0.028291644906919	"http://linkedgeodata.org/ontology/local_ref"
12187	0.026408568970636	"http://linkedgeodata.org/ontology/attribution"
9961	0.021584947527406	"http://linkedgeodata.org/ontology/ref_name"
9280	0.02010925740933	"http://linkedgeodata.org/ontology/ref%3ATECL"
9272	0.020091921842597	"http://linkedgeodata.org/ontology/route_ref%3ATECL"
9160	0.019849223908347	"http://linkedgeodata.org/ontology/url"
8717	0.018889266900552	"http://linkedgeodata.org/ontology/gtfs_id"
8234	0.017842632059097	"http://linkedgeodata.org/ontology/uic_ref"
7527	0.01631060134914	"http://linkedgeodata.org/ontology/uic_name"
6469	0.01401797264881	"http://linkedgeodata.org/ontology/transport%3Azone"
http://linkedgeodata.org/ontology/FireHydrant
"n_sp"	"ratio_n_sp_stot"	"p"
431344	1	"http://linkedgeodata.org/ontology/changeset"
431344	1	"http://linkedgeodata.org/ontology/version"
431342	0.9999953633295	"http://linkedgeodata.org/ontology/gadmSameAs"
372995	0.864727456508031	"http://linkedgeodata.org/ontology/fire_hydrant%3Atype"
231961	0.53776336288438	"http://linkedgeodata.org/ontology/fire_hydrant%3Adiameter"
168750	0.391219073407767	"http://linkedgeodata.org/ontology/fire_hydrant%3Aposition"
101430	0.235148744389629	"http://linkedgeodata.org/ontology/ref"
88732	0.205710523387366	"http://linkedgeodata.org/ontology/source"
51195	0.11868717311473	"http://linkedgeodata.org/ontology/operator"
17828	0.041331280833859	"http://linkedgeodata.org/ontology/fire_hydrant%3Apressure"
12992	0.030119811565711	"http://linkedgeodata.org/ontology/fire_operator"
12168	0.028209503319856	"http://linkedgeodata.org/ontology/colour"
11344	0.026299195074001	"http://linkedgeodata.org/ontology/working"
10124	0.023470826069216	"http://linkedgeodata.org/ontology/note"
9081	0.02105280240365	"http://linkedgeodata.org/ontology/in_service"
7702	0.017855818094143	"http://linkedgeodata.org/ontology/fire_hydrant%3Awater_source"
5892	0.013659631291962	"http://linkedgeodata.org/ontology/colour%3Abonnet"
5496	0.012741570533032	"http://linkedgeodata.org/ontology/colour%3Acap"
5391	0.0124981453318	"http://linkedgeodata.org/ontology/fire_hydrant%3Acoupling_type"
5359	0.012423958603806	"http://linkedgeodata.org/ontology/fire_hydrant%3Acouplings"
5182	0.012013613264587	"http://linkedgeodata.org/ontology/fire_hydrant%3Astreet"
4886	0.011327386030639	"http://linkedgeodata.org/ontology/fire_hydrant%3Acity"
4654	0.01078953225268	"http://linkedgeodata.org/ontology/fire_hydrant%3Ahousenumber"
4111	0.009530676212026	"http://linkedgeodata.org/ontology/working%3Atest_date"
3966	0.009194517600801	"http://linkedgeodata.org/ontology/working_test%3Adate"
3773	0.008747078897585	"http://linkedgeodata.org/ontology/fire_hydrant%3Aref"
3621	0.008394691939612	"http://linkedgeodata.org/ontology/contact%3Aphone"
3157	0.007318984383694	"http://linkedgeodata.org/ontology/fire_hydrant%3Abrand"
