http://linkedgeodata.org/ontology/opening_hours	
"n_so"	"o"
4	"Mo-Su 06:30-23:00"
4	"10:30-23:00"
4	"Mo-Sa 10:00-22:00; Su 12:00-20:00"
4	"unknown"
4	"Mo-Fr 11:00-19:00"
4	"Mo-Sa 10:30-22:00"
4	"Mo-Fr 06:30-16:00"
4	"Mo-Fr 10:00-19:00; Sa 10:00-16:00"
4	"Mo-Sa 11:30-21:00"
4	"Mo-Su 08:00-01:00"
4	"Mo-Su 08:00-02:00"
4	"Mo-Fr 10:00-22:00; Sa,Su 11:00-22:00"
4	"Mo-Su 06:00-05:00"
4	"Mo-Fr 11:00-17:00"
4	"Mo-Sa 10:00-21:00; Su 10:00-20:00"
4	"Mo-Fr 11:00-23:00;Sa-Su 12:00-23:00"
4	"Mo-Fr 07:30-17:00"
4	"Tu-Su 11:00-23:00"
4	"Mo-Su 09:30-23:00"
4	"Mo-Su 06:30-22:00"
4	"wd 11:00-23:00; Sa,Su,PH 10:20-23:00"
4	"Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00"
4	"Mo-Fr 09:00-18:00; Sa 09:00-14:00"
4	"Mo-Su 07:00-22:30"
4	"Mo-Sa 08:00-21:00"
4	"Mo-Su 11:30-24:00"
4	"17:00-22:30"
4	""
4	"Mo-Su 00:00-03:00,04:00-24:00"
4	"Mo-Fr 07:00-20:00"
4	"Mo-Fr 09:00-20:00; Sa 09:00-18:00"
4	"Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00"
4	"Mo-Sa 11:00-22:00; Su,PH 12:00-22:00"
4	"Mo-Sa 09:00-16:00"
4	"2015-05-25"
4	"Mo-Sa 10:00-22:00; Su 14:00-22:00"
4	"Mo-Su 14:00-23:00"
4	"Jun 21-Aug 3"
4	"Tu-Su 12:00-23:00"
4	"Mo-Fr 11:00-21:00; Sa 12:00-21:00; Su 13:00-21:00"
4	"Mo-Su 06:00-01:00"
4	"Mo-Fr 09:00-20:00; Sa 08:00-20:00"
4	"6:00-23:00"
4	"Mo-Th 07:00-01:00; Fr-Sa 07:00-03:00; Su 08:00-01:00"
4	"Mo-Su 00:00-05:00,06:00-24:00"
4	"Mo-Th 07:00-01:00; Fr-Sa 07:00-03:00; Su 09:00-01:00"
4	"Mo-Su 10:30-01:00"
4	"Mo-Th 07:00-01:00; Fr-Sa 07:00-02:00; Su 08:00-01:00"
4	"Mo-Fr 08:00-24:00; Sa 00:00-02:00,08:00-24:00; Su 00:00-02:00,09:00-24:00"
4	"Mo-Sa 10:00-21:00; Su,PH 12:00-20:00"
3	"Mo-Sa 12:00-23:00"
3	"10:00-26:00"
3	"Mo-Fr 10:00-20:00; Sa 10:00-16:00"
3	"Mo-Fr 06:00-17:00"
3	"Mo-Fr 08:30-16:00"
3	"Mo-Fr 09:00-18:00; Sa 09:00-15:00"
3	"Mo-Fr 11:00-19:00; Sa 11:00-16:00"
3	"11:00-14:00,17:00-22:00"
3	"Mo-Su 16:00-21:30"
3	"Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 10:00-22:00"
3	"08:00-21:30"
3	"09:00-19:00"
3	"Mo-Fr 11:30-13:30"
3	"Mo-Su 00:00-00:00"
3	"12:00-15:00"
3	"We off"
3	"Su-Th 07:00-01:00; Fr-Sa 07:00-03:00"
