http://linkedgeodata.org/ontology/opening_hours
"n_so"	"o"
6	"Mo-Fr 08:00-19:00; Sa,Su,PH off"
6	"Mo-Fr 07:00-19:00; Sa,Su 08:00-19:00"
6	"Mo-Fr 06:45-23:00; Sa,Su,PH 07:00-23:00"
6	"Tu-Su"
5	"Mo-Su 9:00-22:00"
5	"Mo-Su 11:00-00:00"
5	"Sa-Su"
5	"8:00-24:00"
5	"Sa-Su 11:00-16:00"
5	"Mo-Su 12:00-19:00"
5	"Mo-Fr 07:30-15:00"
5	"Mo-Fr 08:00-16:30"
5	"Mo-Fr 07:00-21:00; Sa 07:30-21:00; Su,PH 08:00-20:00"
5	"Mo-Su 05:00-21:00"
5	"Mo-Th 05:30-23:00; Fr 05:30-24:00; Sa 06:00-24:00; Su 06:00-23:00"
5	"Jan-Apr Sa-Su 11:00-15:00"
5	"Mo-Fr 07:30-22:00"
5	"Mo-Fr 10:00-22:00"
5	"Mo-Su 08:00-21:30"
5	"Mo-Su 00:00-01:00,12:00-24:00"
5	"Mo-Fr 07:00-22:00; Sa 08:00-22:00; Su,PH 08:00-21:00"
5	"9:00-20:00"
5	"Mo-Fr 07:30-23:00; Sa,Su 09:00-23:00"
5	"Mo-Fr 07:00-22:00; Sa,Su,PH 08:00-20:00"
5	"Mo-Su 09:00-02:00"
5	"Mo-Fr 08:30-18:00"
5	"Mo-Fr 07:00-21:00; Sa 08:00-20:00; Su,PH 08:00-19:00"
5	"08:00-16:00"
5	"Mo-Fr 07:00-23:00; Sa,Su 09:00-23:00"
5	"7:00-22:00"
5	"Mo-Fr 07:00-19:00; Sa-Su 09:00-19:00"
5	"We-Su 09:00-18:00"
5	"Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00"
5	"Mo-Sa 07:00-24:00"
5	"Su off"
5	"Mo-Fr 06:30-22:00; Sa,Su,PH 07:00-22:00"
5	"Mo-Fr 07:00-21:00;Sa-Su 09:00-20:00"
5	"Mo-Su 12:00+"
5	"Tu-Su 08:00-18:00"
5	"Mo-Fr 07:00-21:00; Sa,Su,PH 07:30-21:00"
5	"11:00 - 22:00"
5	"05:00-22:00"
5	"Mo-Su 07:00-02:00"
5	"Mo-Fr 07:30-20:00; Sa,Su,PH off"
5	"Mo-Su 08:30-21:00"
5	"Tu-Su 10:00-24:00"
5	"Mo-Fr 07:00-22:30; Sa,Su,PH 08:00-22:30"
5	"Mo-Sa 07:00-22:00; Su,PH 08:00-22:00"
5	"Mo-Su 07:00-00:00"
5	"07:00-17:00"
5	"Mo-Fr 09:00-19:00; Sa 09:00-17:00"
5	"Mo-Su 10:00+"
5	"Mo-Sa 10:00-22:00; Su 11:00-22:00"
5	"Mo-Fr 06:00-18:00; Sa 06:00-12:00"
5	"11:00-17:00"
5	"Mo-Fr 05:30-21:00; Sa-Su 06:00-21:00"
5	"Mo-Su 8:00-21:00"
5	"07:00-20:00"
5	"Mo-Sa 08:00-21:00"
5	"Mo-Fr 07:30-22:00; Sa,Su,PH 08:00-22:00"
5	"Mo-Su 05:00-20:00"
