Number	Opening_hours	Distance
5	12:00-22:30	1
5	16:00-22:00	1
5	Mo-Sa 10:00-19:00; PH 00:00-00:00	0
5	9:00-22:00	1
5	7:00-24:00	1
5	10:00-00:00	1
5	Mo-Sa 10:00-18:00	0
5	Mo-Fr 11:00-23:00; Sa,Su 12:00-23:00	0
5	Mo-Su 10:00-19:00	0
5	10:00-18:00	1
5	Mo-Fr 11:00-20:00; Sa,Su 12:00-20:00	0
5	Mo-Sa 11:30-22:00; Su 12:00-22:00	0
5	Mo-Sa 10:00-23:00; Su 11:00-23:00	0
5	06:30-23:00	1
5	15:00-22:00	1
5	Mo-Fr 08:00-22:00; Sa-Su 10:00-22:00	0
5	Mo-Sa 11:00-22:00;Su 12:00-22:00	0
5	Summer	4
4	Mo-Su 13:00-22:00	0
4	Mo-Sa 11:00-21:30; Su 12:00-21:30	0
4	Su-Th 11:00-24:00; Fr-Sa 11:00-02:00	0
4	Tu 00:00-00:00	0
4	Mo-Fr 11:00-23:00; Sa,Su,PH 12:00-23:00	0
4	Mo-Sa 10:00-22:00; Su 00:00-00:00	0
4	9:00-23:00	1
4	Mo-Su 11:00-00:00	0
4	Mo-Sa 10:00-22:00; Su 11:00-21:00	0
4	Mo-Su 05:00-22:00	0
4	06:00-14:00	1
4	Mo-Sa 10:00-21:00; Su 11:00-20:00	0
4	Su-Th 10:00-24:00; Fr-Sa 10:00-01:00	0
4	Mo-Su 10:00-00:00	0
4	Mo-Su 5:00-23:00	2
4	Su,Mo-We 11:00-23:00; Th-Sa 11:00-02:00	0
4	Mo-Su 9:00-23:00	2
4	07:00-00:00	1
4	11:00-22:00	1
4	Mo-Th 10:00-22:00; Fr-Sa 10:00-23:00; Su 11:00-22:00	0
4	Mo-Sa 11:00-22:00; Su, PH 12:00-22:00	0
4	Mo-Su 11:00-02:00	0
4	Mo-Fr 10:00-22:00; Sa-Su 12:00-22:00	0
4	Mo-Sa 11:00-21:00; Su 00:00-00:00	0
4	Mo-Su 11:30-00:00	0
4	Mo-Fr 06:00-15:00	0
4	Mo-Fr 10:00-20:00; Sa 10:00-19:00	0
4	Mo-Su 11:30-23:30	0
4	Mo-Su 10:00-23:30	0
4	Mo-Sa 10:00-21:00; Su 12:00-21:00	0
4	12:00-21:00	1
4	Mo-Su 08:00-19:00	0
4	Mo-Su 11:30-21:00	0
4	09:00-18:00	1
4	8:00-23:00	1
4	Mo-Fr 08:30-14:30	0
4	Tu-Su 11:30-22:00	0
4	Tu-Sa 11:00-22:00; Su 12:00-22:00	0
4	Mo-Fr 07:00-19:00;Sa 11:00-17:00;Su 00:00-00:00	0
4	12:00-24:00	1
4	Tu-Su 11:30-22:30	0
4	Mo-Su 14:00-22:00	0
4	wd 11:00-23:00; Sa,Su,PH 10:30-23:00	0
4	Su,Mo-Th 11:00-22:00; Fr-Sa 11:00-23:00	0
4	Mo-Th 11:00-22:00;Fr-Sa 11:00-23:00;Su 11:00-22:00	0
4	Mo-Su 11:00-14:00,17:00-22:30	0
4	Tu-Su 18:00-22:00	0
4	05:00-23:00	1
4	Mo-Sa 10:00-23:00; Su 10:00-22:00	0
4	Mo-Su 06:30-23:00	0
4	10:30-23:00	1
4	Mo-Sa 10:00-22:00; Su 12:00-20:00	0
4	unknown	4
4	Mo-Fr 11:00-19:00	0
4	Mo-Sa 10:30-22:00	0
4	Mo-Fr 06:30-16:00	0
4	Mo-Fr 10:00-19:00; Sa 10:00-16:00	0
4	Mo-Sa 11:30-21:00	0
4	Mo-Su 08:00-01:00	0
4	Mo-Su 08:00-02:00	0
4	Mo-Fr 10:00-22:00; Sa,Su 11:00-22:00	0
4	Mo-Su 06:00-05:00	0
4	Mo-Fr 11:00-17:00	0
4	Mo-Sa 10:00-21:00; Su 10:00-20:00	0
4	Mo-Fr 11:00-23:00;Sa-Su 12:00-23:00	0
4	Mo-Fr 07:30-17:00	0
4	Tu-Su 11:00-23:00	0
4	Mo-Su 09:30-23:00	0
4	Mo-Su 06:30-22:00	0
4	wd 11:00-23:00; Sa,Su,PH 10:20-23:00	0
4	Mo-Fr 11:00-24:00; Sa,Su 00:00-02:00,11:00-24:00	0
4	Mo-Fr 09:00-18:00; Sa 09:00-14:00	0
4	Mo-Su 07:00-22:30	0
4	Mo-Sa 08:00-21:00	0
4	Mo-Su 11:30-24:00	0
4	17:00-22:30	1
4	Mo-Su 00:00-03:00,04:00-24:00	0
4	Mo-Fr 07:00-20:00	0
4	Mo-Fr 09:00-20:00; Sa 09:00-18:00	0
4	Mo-Th 11:00-21:00; Fr-Sa 11:00-22:00; Su 11:00-21:00	0
4	Mo-Sa 11:00-22:00; Su,PH 12:00-22:00	0
4	Mo-Sa 09:00-16:00	0
4	2015-05-25	4
4	Mo-Sa 10:00-22:00; Su 14:00-22:00	0
4	Mo-Su 14:00-23:00	0
4	Jun 21-Aug 3	4
4	Tu-Su 12:00-23:00	0
4	Mo-Fr 11:00-21:00; Sa 12:00-21:00; Su 13:00-21:00	0
4	Mo-Su 06:00-01:00	0
4	Mo-Fr 09:00-20:00; Sa 08:00-20:00	0
4	6:00-23:00	1
4	Mo-Th 07:00-01:00; Fr-Sa 07:00-03:00; Su 08:00-01:00	0
4	Mo-Su 00:00-05:00,06:00-24:00	0
4	Mo-Th 07:00-01:00; Fr-Sa 07:00-03:00; Su 09:00-01:00	0
4	Mo-Su 10:30-01:00	0
4	Mo-Th 07:00-01:00; Fr-Sa 07:00-02:00; Su 08:00-01:00	0
4	Mo-Fr 08:00-24:00; Sa 00:00-02:00,08:00-24:00; Su 00:00-02:00,09:00-24:00	0
4	Mo-Sa 10:00-21:00; Su,PH 12:00-20:00	0
3	Mo-Sa 12:00-23:00	0
