?n	?predicate
1948	<http://linkedgeodata.org/ontology/wheelchair%3Adescription>
1870	<http://linkedgeodata.org/ontology/ele>
1814	<http://linkedgeodata.org/ontology/source%3Adate>
1718	<http://linkedgeodata.org/ontology/stars>
1697	<http://linkedgeodata.org/ontology/url>
1654	<http://linkedgeodata.org/ontology/microbrewery>
1638	<http://linkedgeodata.org/ontology/isIn>
1502	<http://linkedgeodata.org/ontology/diet%3Avegetarian>
1204	<http://linkedgeodata.org/ontology/addr%3Aplace>
1180	<http://linkedgeodata.org/ontology/level>
1144	<http://linkedgeodata.org/ontology/contact%3Afax>
1115	<http://linkedgeodata.org/ontology/historicalName>
995	<http://linkedgeodata.org/ontology/start_date>
913	<http://linkedgeodata.org/ontology/delivery>
898	<http://linkedgeodata.org/ontology/brewery>
891	<http://linkedgeodata.org/ontology/source%3Aaddr>
877	<http://linkedgeodata.org/ontology/fixme>
864	<http://linkedgeodata.org/ontology/addr%3Aprovince>
850	<http://linkedgeodata.org/ontology/area>
825	<http://linkedgeodata.org/ontology/internationalName>
781	<http://linkedgeodata.org/ontology/height>
777	<http://linkedgeodata.org/ontology/diet%3Avegan>
772	<http://linkedgeodata.org/ontology/cuisine%3Aja>
744	<http://linkedgeodata.org/ontology/addr%3Afull>
737	<http://linkedgeodata.org/ontology/ref%3Abag>
710	<http://linkedgeodata.org/ontology/designation>
702	<http://linkedgeodata.org/ontology/branch>
688	<http://linkedgeodata.org/ontology/addr%3Aconscriptionnumber>
680	<http://linkedgeodata.org/ontology/payment%3Abitcoin>
648	<http://linkedgeodata.org/ontology/layer>
623	<http://linkedgeodata.org/ontology/entrance>
622	<http://linkedgeodata.org/ontology/source_ref>
593	<http://linkedgeodata.org/ontology/biergarten>
591	<http://linkedgeodata.org/ontology/drive_in>
533	<http://linkedgeodata.org/ontology/dataset>
504	<http://linkedgeodata.org/ontology/attribution>
485	<http://linkedgeodata.org/ontology/wifi>
457	<http://linkedgeodata.org/ontology/fhrs%3Aid>
442	<http://linkedgeodata.org/ontology/wikipedia>
437	<http://linkedgeodata.org/ontology/roof%3Ashape>
430	<http://linkedgeodata.org/ontology/featuresSport>
412	<http://linkedgeodata.org/ontology/source%3Aname>
387	<http://linkedgeodata.org/ontology/ref%3Aruian%3Aaddr>
377	<http://linkedgeodata.org/ontology/linncounty%3Aobjectid>
366	<http://linkedgeodata.org/ontology/rooms>
365	<http://linkedgeodata.org/ontology/is_in%3Acity>
356	<http://linkedgeodata.org/ontology/ref>
356	<http://linkedgeodata.org/ontology/ref%3Avatin>
354	<http://linkedgeodata.org/ontology/FIXME>
338	<http://xmlns.com/foaf/0.1/depiction>
336	<http://linkedgeodata.org/ontology/survey%3Adate>
335	<http://linkedgeodata.org/ontology/fhrs%3Arating>
330	<http://linkedgeodata.org/ontology/primary_use>
325	<http://linkedgeodata.org/ontology/secondary_use>
324	<http://linkedgeodata.org/ontology/other_use>
320	<http://linkedgeodata.org/ontology/source%3Apostcode>
310	<http://linkedgeodata.org/ontology/addr%3Aunit>
295	<http://linkedgeodata.org/ontology/it%3Afvg%3Actrn%3Acode>
294	<http://linkedgeodata.org/ontology/it%3Afvg%3Actrn%3Arevision>
292	<http://linkedgeodata.org/ontology/addr%3Astreetnumber>
277	<http://linkedgeodata.org/ontology/name%3Asr-Latn>
273	<http://linkedgeodata.org/ontology/fhrs%3Arating_date>
270	<http://linkedgeodata.org/ontology/fhrs%3Alocal_authority_id>
268	<http://linkedgeodata.org/ontology/fhrs%3Aconfidence_management>
268	<http://linkedgeodata.org/ontology/fhrs%3Ahygiene>
268	<http://linkedgeodata.org/ontology/fhrs%3Astructural>
267	<http://linkedgeodata.org/ontology/restaurant%3Atype%3Ait>
254	<http://linkedgeodata.org/ontology/building%3Ause>
252	<http://linkedgeodata.org/ontology/access>
249	<http://linkedgeodata.org/ontology/smoking%3Aoutside>
241	<http://linkedgeodata.org/ontology/is_in%3Acountry>
239	<http://linkedgeodata.org/ontology/addr%3Astreet%3Aname>
230	<http://linkedgeodata.org/ontology/building%3Amaterial>
226	<http://linkedgeodata.org/ontology/beer_garden>
222	<http://linkedgeodata.org/ontology/nycdoitt%3Abin>
219	<http://linkedgeodata.org/ontology/addr%3Astreet%3Atype>
213	<http://linkedgeodata.org/ontology/organic>
206	<http://linkedgeodata.org/ontology/fresno_APN>
206	<http://linkedgeodata.org/ontology/fresno_TX_area_CD>
206	<http://linkedgeodata.org/ontology/fresno_lot_area>
206	<http://linkedgeodata.org/ontology/fresno_lot_depth>
206	<http://linkedgeodata.org/ontology/fresno_lot_width>
204	<http://linkedgeodata.org/ontology/contact%3Amobile>
194	<http://linkedgeodata.org/ontology/lot_description>
190	<http://linkedgeodata.org/ontology/addr%3Astreet%3Acorner>
184	<http://linkedgeodata.org/ontology/building%3Acolour>
184	<http://linkedgeodata.org/ontology/snowmobile>
182	<http://linkedgeodata.org/ontology/wheelchair%3Adescription%3Ade>
181	<http://linkedgeodata.org/ontology/is_in%3Astate>
179	<http://linkedgeodata.org/ontology/beverage>
179	<http://linkedgeodata.org/ontology/roof%3Acolour>
164	<http://linkedgeodata.org/ontology/food>
163	<http://linkedgeodata.org/ontology/heritage>
162	<http://linkedgeodata.org/ontology/postal_code>
161	<http://linkedgeodata.org/ontology/indoor>
158	<http://linkedgeodata.org/ontology/short_name>
155	<http://linkedgeodata.org/ontology/take_away>
154	<http://linkedgeodata.org/ontology/addr%3Afloor>
151	<http://linkedgeodata.org/ontology/osak%3Aidentifier>
149	<http://linkedgeodata.org/ontology/building%3Aroof>
147	<http://linkedgeodata.org/ontology/osak%3Arevision>
146	<http://linkedgeodata.org/ontology/localName>
145	<http://linkedgeodata.org/ontology/contact%3Afacebook>
145	<http://linkedgeodata.org/ontology/osak%3Amunicipality_no>
144	<http://linkedgeodata.org/ontology/addr%3Adistrict>
143	<http://linkedgeodata.org/ontology/is_in%3Astate_code>
141	<http://linkedgeodata.org/ontology/beds>
141	<http://linkedgeodata.org/ontology/heritage%3Aoperator>
139	<http://linkedgeodata.org/ontology/lbcs%3Aactivity%3Acode>
139	<http://linkedgeodata.org/ontology/lbcs%3Aactivity%3Aname>
139	<http://linkedgeodata.org/ontology/lbcs%3Afunction%3Acode>
139	<http://linkedgeodata.org/ontology/lbcs%3Afunction%3Aname>
135	<http://linkedgeodata.org/ontology/payment:credit_cards>
131	<http://linkedgeodata.org/ontology/addr%3Asuite>
131	<http://linkedgeodata.org/ontology/roof%3Alevels>
130	<http://linkedgeodata.org/ontology/weinmobil%3Anote>
130	<http://linkedgeodata.org/ontology/weinmobil%3Aref>
129	<http://linkedgeodata.org/ontology/is_in%3Acountry_code>
128	<http://linkedgeodata.org/ontology/ref%3AUrbIS>
125	<http://linkedgeodata.org/ontology/building%3Awalls>
124	<http://linkedgeodata.org/ontology/addr%3Astreet%3Aprefix>
124	<http://linkedgeodata.org/ontology/source%3Aaddr%3Ahousenumber>
124	<http://linkedgeodata.org/ontology/toilets>
121	<http://linkedgeodata.org/ontology/officialName>
120	<http://linkedgeodata.org/ontology/bak%3Afac_type1>
118	<http://linkedgeodata.org/ontology/bak%3Afac_type2>
118	<http://linkedgeodata.org/ontology/horse>
117	<http://linkedgeodata.org/ontology/fast_food>
116	<http://linkedgeodata.org/ontology/building%3Astructure>
116	<http://linkedgeodata.org/ontology/uir_adr%3AADRESA_KOD>
115	<http://linkedgeodata.org/ontology/chicago%3Abuilding_id>
115	<http://linkedgeodata.org/ontology/source%3Aamenity>
113	<http://linkedgeodata.org/ontology/source%3Abuilding>
111	<http://linkedgeodata.org/ontology/payment%3Avisa>
110	<http://linkedgeodata.org/ontology/building%3Aheight>
109	<http://linkedgeodata.org/ontology/addr%3Acity%3Ait>
108	<http://linkedgeodata.org/ontology/bar>
106	<http://linkedgeodata.org/ontology/drive_through>
106	<http://linkedgeodata.org/ontology/import>
106	<http://linkedgeodata.org/ontology/operator%3Atenant>
105	<http://linkedgeodata.org/ontology/payment%3Amastercard>
104	<http://linkedgeodata.org/ontology/kvl_hro%3Atype>
103	<http://linkedgeodata.org/ontology/operational_status>
102	<http://linkedgeodata.org/ontology/addr%3Acity%3Ade>
102	<http://linkedgeodata.org/ontology/room>
100	<http://linkedgeodata.org/ontology/roof%3Amaterial>
98	<http://linkedgeodata.org/ontology/buildingpart>
98	<http://linkedgeodata.org/ontology/lunch>
98	<http://linkedgeodata.org/ontology/source%3Ageometry>
96	<http://linkedgeodata.org/ontology/wpt_symbol>
95	<http://linkedgeodata.org/ontology/kvl_hro%3Aamenity>
93	<http://linkedgeodata.org/ontology/note%3Ade>
92	<http://linkedgeodata.org/ontology/addr%3Ahamlet>
92	<http://linkedgeodata.org/ontology/diet%3Agluten_free>
92	<http://linkedgeodata.org/ontology/is_in%3Acontinent>
92	<http://linkedgeodata.org/ontology/power_source>
90	<http://linkedgeodata.org/ontology/disused>
88	<http://linkedgeodata.org/ontology/description%3Ade>
88	<http://linkedgeodata.org/ontology/payment%3Acash>
86	<http://linkedgeodata.org/ontology/osak%3Astreet_no>
86	<http://linkedgeodata.org/ontology/type_idn>
85	<http://linkedgeodata.org/ontology/facebook>
85	<http://linkedgeodata.org/ontology/oven>
84	<http://linkedgeodata.org/ontology/wpt_description>
82	<http://linkedgeodata.org/ontology/sym>
82	<http://linkedgeodata.org/ontology/wall>
81	<http://linkedgeodata.org/ontology/dcgis%3Alot>
81	<http://linkedgeodata.org/ontology/dcgis%3Asquare>
80	<http://linkedgeodata.org/ontology/3dshapes%3Aggmodelk>
80	<http://linkedgeodata.org/ontology/ref%3Aruian%3Abuilding>
79	<http://linkedgeodata.org/ontology/addr%3Aregion>
79	<http://linkedgeodata.org/ontology/comment>
79	<http://linkedgeodata.org/ontology/is_in%3Aregion>
76	<http://linkedgeodata.org/ontology/addr%3Astreet%3Ade>
76	<http://linkedgeodata.org/ontology/type>
75	<http://linkedgeodata.org/ontology/addr%3Astreet%3Ait>
74	<http://linkedgeodata.org/ontology/payment:debit_cards>
74	<http://linkedgeodata.org/ontology/ref%3AFR%3ASIRET>
74	<http://linkedgeodata.org/ontology/source%3Aoutline>
73	<http://linkedgeodata.org/ontology/price>
73	<http://linkedgeodata.org/ontology/time>
72	<http://linkedgeodata.org/ontology/ref%3Aavf>
71	<http://linkedgeodata.org/ontology/source%3Aloc>
70	<http://linkedgeodata.org/ontology/diet%3Akosher>
70	<http://linkedgeodata.org/ontology/roof%3Aorientation>
70	<http://linkedgeodata.org/ontology/source%3Aphone>
69	<http://linkedgeodata.org/ontology/addr%3Asubdistrict>
69	<http://linkedgeodata.org/ontology/kms%3Amunicipality_no>
69	<http://linkedgeodata.org/ontology/terrace>
67	<http://linkedgeodata.org/ontology/history>
66	<http://linkedgeodata.org/ontology/cmt>
66	<http://linkedgeodata.org/ontology/is_in%3Aprovince>
66	<http://linkedgeodata.org/ontology/roof%3Aheight>
66	<http://linkedgeodata.org/ontology/survey_date>
65	<http://linkedgeodata.org/ontology/kms%3Acounty_name>
65	<http://linkedgeodata.org/ontology/kms%3Acounty_no>
65	<http://linkedgeodata.org/ontology/kms%3Ahouse_no>
65	<http://linkedgeodata.org/ontology/kms%3Alast_updated>
65	<http://linkedgeodata.org/ontology/kms%3Amunicipality_name>
65	<http://linkedgeodata.org/ontology/kms%3Astreet_name>
65	<http://linkedgeodata.org/ontology/kms%3Astreet_no>
65	<http://linkedgeodata.org/ontology/kms%3Azip_name>
65	<http://linkedgeodata.org/ontology/kms%3Azip_no>
65	<http://linkedgeodata.org/ontology/outside_seating>
65	<http://linkedgeodata.org/ontology/yelp>
64	<http://linkedgeodata.org/ontology/fhrs%3Aauthority>
64	<http://linkedgeodata.org/ontology/fhrs%3Ainspectiondate>
64	<http://linkedgeodata.org/ontology/redwood_city_ca%3Aaddr_id>
64	<http://linkedgeodata.org/ontology/source%3Aurl>
62	<http://linkedgeodata.org/ontology/description2>
62	<http://linkedgeodata.org/ontology/telephone>
61	<http://linkedgeodata.org/ontology/phone%3Amobile>
61	<http://linkedgeodata.org/ontology/second_use>
61	<http://linkedgeodata.org/ontology/toilets%3Aaccess>
60	<http://linkedgeodata.org/ontology/garmin_type>
59	<http://linkedgeodata.org/ontology/addr%3Aerf>
59	<http://linkedgeodata.org/ontology/addr%3Award>
58	<http://linkedgeodata.org/ontology/addr%3Acounty>
56	<http://linkedgeodata.org/ontology/kitchen_hours>
56	<http://linkedgeodata.org/ontology/seating>
55	<http://linkedgeodata.org/ontology/address>
55	<http://linkedgeodata.org/ontology/kms%3Aparish_name>
55	<http://linkedgeodata.org/ontology/kms%3Aparish_no>
54	<http://linkedgeodata.org/ontology/internet_access%3Aoperator>
54	<http://linkedgeodata.org/ontology/is_in%3Acounty>
54	<http://linkedgeodata.org/ontology/payment%3Aamerican_express>
53	<http://linkedgeodata.org/ontology/odbl>
53	<http://linkedgeodata.org/ontology/source_date>
52	<http://linkedgeodata.org/ontology/extensions>
52	<http://linkedgeodata.org/ontology/owner>
51	<http://linkedgeodata.org/ontology/description_1>
51	<http://linkedgeodata.org/ontology/source_type_survey>
50	<http://linkedgeodata.org/ontology/heritage%3Awebsite>
50	<http://linkedgeodata.org/ontology/project>
50	<http://linkedgeodata.org/ontology/source_type_GPS>
48	<http://linkedgeodata.org/ontology/agritourism>
48	<http://linkedgeodata.org/ontology/name%3Amr>
48	<http://linkedgeodata.org/ontology/note%3ABAG>
47	<http://linkedgeodata.org/ontology/cosmha>
47	<http://linkedgeodata.org/ontology/ethnicity>
47	<http://linkedgeodata.org/ontology/payment:coins>
47	<http://linkedgeodata.org/ontology/source_type_imagery>
46	<http://linkedgeodata.org/ontology/lastcheck>
46	<http://linkedgeodata.org/ontology/listed_status>
46	<http://linkedgeodata.org/ontology/wheelchair%3Atoilets>
45	<http://linkedgeodata.org/ontology/capacity%3Aovernight>
45	<http://linkedgeodata.org/ontology/opening_hours%3Akitchen>
44	<http://linkedgeodata.org/ontology/desc>
44	<http://linkedgeodata.org/ontology/garmin%3Adescription>
43	<http://linkedgeodata.org/ontology/al_fresco>
43	<http://linkedgeodata.org/ontology/levels>
43	<http://linkedgeodata.org/ontology/source%3Aposition>
42	<http://linkedgeodata.org/ontology/source%3Acuisine>
41	<http://linkedgeodata.org/ontology/gnis%3Afeature_id>
41	<http://linkedgeodata.org/ontology/note%3Afr>
40	<http://linkedgeodata.org/ontology/OnroerendErfgoed%3Acriteria>
39	<http://linkedgeodata.org/ontology/addr%3Ainterpolation>
39	<http://linkedgeodata.org/ontology/floor>
39	<http://linkedgeodata.org/ontology/project%3Aeurosha_2012>
39	<http://linkedgeodata.org/ontology/ref%3AOnroerendErfgoed>
38	<http://linkedgeodata.org/ontology/award%3Amichelin>
38	<http://linkedgeodata.org/ontology/drink%3Aclub-mate>
38	<http://linkedgeodata.org/ontology/source_type_walking_paper>
37	<http://linkedgeodata.org/ontology/alcohol>
37	<http://linkedgeodata.org/ontology/building%3Aflats>
37	<http://linkedgeodata.org/ontology/ref%3Aruian>
37	<http://linkedgeodata.org/ontology/wheelchair%3Astep_height>
36	<http://linkedgeodata.org/ontology/atm>
36	<http://linkedgeodata.org/ontology/building%3Apart>
36	<http://linkedgeodata.org/ontology/dcgis%3Agis_id>
36	<http://linkedgeodata.org/ontology/restaurant>
36	<http://linkedgeodata.org/ontology/wheelchair%3Aentrance_width>
35	<http://linkedgeodata.org/ontology/llbo>
35	<http://linkedgeodata.org/ontology/previous_name>
35	<http://linkedgeodata.org/ontology/website%3Aprice>
35	<http://linkedgeodata.org/ontology/wheelchair%3Aaccess>
34	<http://linkedgeodata.org/ontology/addr%3Adirection>
34	<http://linkedgeodata.org/ontology/addr%3Asubcity>
34	<http://linkedgeodata.org/ontology/karaoke>
34	<http://linkedgeodata.org/ontology/motorcar>
34	<http://linkedgeodata.org/ontology/parking>
34	<http://linkedgeodata.org/ontology/payment%3Aaccount_cards>
33	<http://linkedgeodata.org/ontology/cafe>
33	<http://linkedgeodata.org/ontology/twitter>
32	<http://linkedgeodata.org/ontology/gay>
32	<http://linkedgeodata.org/ontology/is_in%3Amunicipality>
32	<http://linkedgeodata.org/ontology/shower>
32	<http://linkedgeodata.org/ontology/smokefree>
31	<http://linkedgeodata.org/ontology/accommodation>
31	<http://linkedgeodata.org/ontology/building_type>
31	<http://linkedgeodata.org/ontology/dcgis%3Acaptureyear>
31	<http://linkedgeodata.org/ontology/menu_languages>
31	<http://linkedgeodata.org/ontology/real_ale>
30	<http://linkedgeodata.org/ontology/ID_SLH_IMPORT>
30	<http://linkedgeodata.org/ontology/building%3Aruian%3Atype>
30	<http://linkedgeodata.org/ontology/outdoor>
30	<http://linkedgeodata.org/ontology/sangis%3AOBJECTID>
30	<http://linkedgeodata.org/ontology/sangis%3ATYPE>
30	<http://linkedgeodata.org/ontology/usar_addr%3Aedit_date>
29	<http://linkedgeodata.org/ontology/addr%3Aquarter>
29	<http://linkedgeodata.org/ontology/date>
29	<http://linkedgeodata.org/ontology/menu>
29	<http://linkedgeodata.org/ontology/restaurant%3Ahandwashing>
29	<http://linkedgeodata.org/ontology/water_tank%3Aquantity>
28	<http://linkedgeodata.org/ontology/addr%3Atown>
28	<http://linkedgeodata.org/ontology/floating>
28	<http://linkedgeodata.org/ontology/location>
28	<http://linkedgeodata.org/ontology/number_of_menulanguages>
28	<http://linkedgeodata.org/ontology/opening_hours%3Aurl>
28	<http://linkedgeodata.org/ontology/payment%3Amaestro>
28	<http://linkedgeodata.org/ontology/surveillance>
28	<http://linkedgeodata.org/ontology/toilets%3Adisposal>
27	<http://linkedgeodata.org/ontology/drink%3Abeer>
27	<http://linkedgeodata.org/ontology/gnis%3Acounty_name>
27	<http://linkedgeodata.org/ontology/nadoloni%3Aid>
27	<http://linkedgeodata.org/ontology/payment%3Acibus>
27	<http://linkedgeodata.org/ontology/precio_menudia>
26	<http://linkedgeodata.org/ontology/addr%3Astreet%3Afr>
26	<http://linkedgeodata.org/ontology/payment%3A10bis>
26	<http://linkedgeodata.org/ontology/payment%3Adiscover_card>
26	<http://linkedgeodata.org/ontology/source%3Alocation>
25	<http://linkedgeodata.org/ontology/addr%3Acity%3Afr>
25	<http://linkedgeodata.org/ontology/addr%3Acity%3Anl>
25	<http://linkedgeodata.org/ontology/addr%3Astreet%3Anl>
25	<http://linkedgeodata.org/ontology/beer_brand>
25	<http://linkedgeodata.org/ontology/osak%3Asubdivision>
25	<http://linkedgeodata.org/ontology/tenant>
24	<http://linkedgeodata.org/ontology/addr%3Adoor>
24	<http://linkedgeodata.org/ontology/addr%3Avillage>
24	<http://linkedgeodata.org/ontology/hours>
24	<http://linkedgeodata.org/ontology/information>
24	<http://linkedgeodata.org/ontology/is_in%3Azh>
24	<http://linkedgeodata.org/ontology/massif>
24	<http://linkedgeodata.org/ontology/phone2>
24	<http://linkedgeodata.org/ontology/self_service>
24	<http://linkedgeodata.org/ontology/url%3Aofficial>
23	<http://linkedgeodata.org/ontology/_tip_>
23	<http://linkedgeodata.org/ontology/addr%3Agovernorate>
23	<http://linkedgeodata.org/ontology/b5m%3Aid>
23	<http://linkedgeodata.org/ontology/b5m%3Aurl>
23	<http://linkedgeodata.org/ontology/b5m%3AurlOrto>
23	<http://linkedgeodata.org/ontology/cladr%3Acode>
23	<http://linkedgeodata.org/ontology/construction>
23	<http://linkedgeodata.org/ontology/ele%3Asource>
22	<http://linkedgeodata.org/ontology/addr%3Apostcode%3Asource>
22	<http://linkedgeodata.org/ontology/building%3Atype>
22	<http://linkedgeodata.org/ontology/diet%3Apescetarian>
22	<http://linkedgeodata.org/ontology/gnis%3Aimport_uuid>
22	<http://linkedgeodata.org/ontology/is_in%3Azip>
22	<http://linkedgeodata.org/ontology/name%3Aky>
22	<http://linkedgeodata.org/ontology/previously>
22	<http://linkedgeodata.org/ontology/source%3Aopening_hours>
21	<http://linkedgeodata.org/ontology/addr%3Aplace%3Ade>
21	<http://linkedgeodata.org/ontology/addr%3Aplace%3Ait>
21	<http://linkedgeodata.org/ontology/bbg%3Aaddr>
21	<http://linkedgeodata.org/ontology/bbg%3Adataset>
21	<http://linkedgeodata.org/ontology/bbg%3Astname>
21	<http://linkedgeodata.org/ontology/bbg%3Astsuffix>
21	<http://linkedgeodata.org/ontology/contributor%3Aph>
21	<http://linkedgeodata.org/ontology/description_2>
21	<http://linkedgeodata.org/ontology/maaamet%3AETAK>
21	<http://linkedgeodata.org/ontology/old_amenity>
21	<http://linkedgeodata.org/ontology/outdoor_area>
20	<http://linkedgeodata.org/ontology/addr%3Ahamlet%3Ade>
20	<http://linkedgeodata.org/ontology/addr%3Ahamlet%3Ait>
20	<http://linkedgeodata.org/ontology/building%3Aroof%3Ashape>
20	<http://linkedgeodata.org/ontology/cuisine%3Afr>
20	<http://linkedgeodata.org/ontology/reservation>
19	<http://linkedgeodata.org/ontology/addr%3Akebele>
19	<http://linkedgeodata.org/ontology/amenity_1>
19	<http://linkedgeodata.org/ontology/award>
19	<http://linkedgeodata.org/ontology/award%3AGault-Millau>
19	<http://linkedgeodata.org/ontology/cuisine_1>
19	<http://linkedgeodata.org/ontology/opening_hours%3Alunch>
19	<http://linkedgeodata.org/ontology/paloalto_ca%3Aid>
19	<http://linkedgeodata.org/ontology/phone_1>
19	<http://linkedgeodata.org/ontology/region>
19	<http://linkedgeodata.org/ontology/restaurant%3Awarm_meals>
18	<http://linkedgeodata.org/ontology/description%3Aen>
18	<http://linkedgeodata.org/ontology/diet%3Alacto_vegetarian>
18	<http://linkedgeodata.org/ontology/facebook%3Apage>
18	<http://linkedgeodata.org/ontology/full_name>
18	<http://linkedgeodata.org/ontology/gnis%3Acounty_id>
18	<http://linkedgeodata.org/ontology/gnis%3Acreated>
18	<http://linkedgeodata.org/ontology/is_in%3Agovernorate>
18	<http://linkedgeodata.org/ontology/license%3Aunhcr>
18	<http://linkedgeodata.org/ontology/osak%3Astreet>
18	<http://linkedgeodata.org/ontology/pizza>
18	<http://linkedgeodata.org/ontology/postcode>
18	<http://linkedgeodata.org/ontology/rer_edi_id%3Aref>
18	<http://linkedgeodata.org/ontology/todo>
18	<http://linkedgeodata.org/ontology/toilets%3Awheelchair>
18	<http://linkedgeodata.org/ontology/waste%3Adisposal>
18	<http://linkedgeodata.org/ontology/water_access%3Apaid>
17	<http://linkedgeodata.org/ontology/addr%3Ainclusion>
17	<http://linkedgeodata.org/ontology/contact%3Atwitter>
17	<http://linkedgeodata.org/ontology/dog>
17	<http://linkedgeodata.org/ontology/end_date>
17	<http://linkedgeodata.org/ontology/hide>
17	<http://linkedgeodata.org/ontology/opendata%3Atype>
17	<http://linkedgeodata.org/ontology/payment:notes>
17	<http://linkedgeodata.org/ontology/restaurant%3Atype>
17	<http://linkedgeodata.org/ontology/speciality>
17	<http://linkedgeodata.org/ontology/tobacco>
16	<http://linkedgeodata.org/ontology/castle_type>
16	<http://linkedgeodata.org/ontology/diet%3Ahalal>
16	<http://linkedgeodata.org/ontology/disused%3Aamenity>
16	<http://linkedgeodata.org/ontology/gnis%3Astate_id>
16	<http://linkedgeodata.org/ontology/opening_hours%3Arestaurant>
16	<http://linkedgeodata.org/ontology/website%3Aofficial>
15	<http://linkedgeodata.org/ontology/PFM%3Agarmin_type>
15	<http://linkedgeodata.org/ontology/Type>
15	<http://linkedgeodata.org/ontology/addr%3Ablock_number>
15	<http://linkedgeodata.org/ontology/addr%3Astreet_direction_prefix>
15	<http://linkedgeodata.org/ontology/diaper>
15	<http://linkedgeodata.org/ontology/gluten_free>
15	<http://linkedgeodata.org/ontology/is_in%3Avillage>
15	<http://linkedgeodata.org/ontology/key>
15	<http://linkedgeodata.org/ontology/maxspeed>
15	<http://linkedgeodata.org/ontology/payment%3Adiners_club>
15	<http://linkedgeodata.org/ontology/seamark%3Atype>
15	<http://linkedgeodata.org/ontology/takeout>
14	<http://linkedgeodata.org/ontology/bag%3Agebruiksdoel>
14	<http://linkedgeodata.org/ontology/drink%3Awine>
14	<http://linkedgeodata.org/ontology/gnis%3Areviewed>
14	<http://linkedgeodata.org/ontology/happy_hours>
14	<http://linkedgeodata.org/ontology/name_1>
14	<http://linkedgeodata.org/ontology/payment%3Agirocard>
14	<http://linkedgeodata.org/ontology/redwood_city_ca%3Abld_gid>
14	<http://linkedgeodata.org/ontology/ref%3Anid>
14	<http://linkedgeodata.org/ontology/ref%3Astore_number>
14	<http://linkedgeodata.org/ontology/rooms%3Adouble>
14	<http://linkedgeodata.org/ontology/seats>
14	<http://linkedgeodata.org/ontology/wlan>
13	<http://linkedgeodata.org/ontology/addr%3Aphone>
13	<http://linkedgeodata.org/ontology/addr%3Asource>
13	<http://linkedgeodata.org/ontology/bbg%3Astpredir>
13	<http://linkedgeodata.org/ontology/bett%2Bbike%3Aref>
13	<http://linkedgeodata.org/ontology/brunch>
13	<http://linkedgeodata.org/ontology/contact>
13	<http://linkedgeodata.org/ontology/contact%3Agoogle_plus>
13	<http://linkedgeodata.org/ontology/cuisine%3Ajp>
13	<http://linkedgeodata.org/ontology/disused%3Aname>
13	<http://linkedgeodata.org/ontology/drink%3Aliquor>
13	<http://linkedgeodata.org/ontology/internet_1>
13	<http://linkedgeodata.org/ontology/internet_2>
13	<http://linkedgeodata.org/ontology/is_in%3Atown>
13	<http://linkedgeodata.org/ontology/mvdgis%3Acod_nombre>
13	<http://linkedgeodata.org/ontology/mvdgis%3Apadron>
