?n	?predicate
66	<http://linkedgeodata.org/ontology/ref%3Aruian>
66	<http://linkedgeodata.org/ontology/survey_date>
65	<http://linkedgeodata.org/ontology/history>
65	<http://linkedgeodata.org/ontology/payment:electronic_purses>
64	<http://linkedgeodata.org/ontology/addr%3Award>
64	<http://linkedgeodata.org/ontology/redwood_city_ca%3Aaddr_id>
63	<http://linkedgeodata.org/ontology/extensions>
63	<http://linkedgeodata.org/ontology/heritage%3Awebsite>
63	<http://linkedgeodata.org/ontology/source%3Aposition>
61	<http://linkedgeodata.org/ontology/lastcheck>
61	<http://linkedgeodata.org/ontology/source%3Aurl>
60	<http://linkedgeodata.org/ontology/addr%3Aerf>
60	<http://linkedgeodata.org/ontology/agritourism>
60	<http://linkedgeodata.org/ontology/garmin_type>
60	<http://linkedgeodata.org/ontology/real_ale>
58	<http://linkedgeodata.org/ontology/bak%3Afac_type1>
58	<http://linkedgeodata.org/ontology/cafe>
58	<http://linkedgeodata.org/ontology/drink%3Awine>
58	<http://linkedgeodata.org/ontology/listed_status>
58	<http://linkedgeodata.org/ontology/parking>
58	<http://linkedgeodata.org/ontology/seating>
57	<http://linkedgeodata.org/ontology/bak%3Afac_type2>
56	<http://linkedgeodata.org/ontology/is_in%3Acounty>
55	<http://linkedgeodata.org/ontology/source_1>
54	<http://linkedgeodata.org/ontology/levels>
54	<http://linkedgeodata.org/ontology/payment%3Acryptocurrencies>
53	<http://linkedgeodata.org/ontology/addr%3Ablock_number>
53	<http://linkedgeodata.org/ontology/twitter>
53	<http://linkedgeodata.org/ontology/yelp>
51	<http://linkedgeodata.org/ontology/OnroerendErfgoed%3Acriteria>
51	<http://linkedgeodata.org/ontology/project>
51	<http://linkedgeodata.org/ontology/ref%3AOnroerendErfgoed>
50	<http://linkedgeodata.org/ontology/addr%3Aplace%3Ade>
50	<http://linkedgeodata.org/ontology/addr%3Aplace%3Ait>
50	<http://linkedgeodata.org/ontology/al_fresco>
50	<http://linkedgeodata.org/ontology/description_1>
50	<http://linkedgeodata.org/ontology/floor>
50	<http://linkedgeodata.org/ontology/payment%3Adiners_club>
49	<http://linkedgeodata.org/ontology/llbo>
49	<http://linkedgeodata.org/ontology/source_date>
48	<http://linkedgeodata.org/ontology/gay>
48	<http://linkedgeodata.org/ontology/karaoke>
48	<http://linkedgeodata.org/ontology/restaurant>
48	<http://linkedgeodata.org/ontology/wheelchair%3Astep_height>
48	<http://linkedgeodata.org/ontology/wheelchair%3Atoilets>
47	<http://linkedgeodata.org/ontology/cosmha>
47	<http://linkedgeodata.org/ontology/payment%3Aaccount_cards>
47	<http://linkedgeodata.org/ontology/source_type_GPS>
47	<http://linkedgeodata.org/ontology/source_type_survey>
46	<http://linkedgeodata.org/ontology/primary_use>
46	<http://linkedgeodata.org/ontology/secondary_use>
45	<http://linkedgeodata.org/ontology/atm>
45	<http://linkedgeodata.org/ontology/note%3Afr>
45	<http://linkedgeodata.org/ontology/other_use>
45	<http://linkedgeodata.org/ontology/payment%3Avisa_electron>
44	<http://linkedgeodata.org/ontology/award%3Amichelin>
44	<http://linkedgeodata.org/ontology/odbl>
43	<http://linkedgeodata.org/ontology/accommodation>
43	<http://linkedgeodata.org/ontology/contact%3Atwitter>
